School Name,Years of Data,Years Available,School Type,School Level,ZIP Code,Neighborhood,Asian_Percent,Black_Percent,Hispanic_Percent,White_Percent,Latest Year Mean Score,Latest Year Pass Rate
Nelson Mandela High School,6,"2017, 2018, 2019, 2020, 2022, 2023",General Academic,High school,11213,Bedford Stuyvesant - Crown Heights,0.0,100.0,0.0,0.0,63.7,62.5
New Design High School,6,"2017, 2018, 2019, 2020, 2022, 2023",General Academic,High school,10002,Union Square - Lower East Side,0.0,25.81,74.19,0.0,57.2,32.26
New Dorp High School,6,"2017, 2018, 2019, 2020, 2022, 2023",General Academic,High school,10306,South Beach - Tottenville ,15.05,10.88,34.87,39.2,65.11,57.5
New Ventures Charter School,6,"2017, 2018, 2019, 2020, 2022, 2023",General Academic,High school,10314,Willowbrook,0.0,35.29,64.71,0.0,51.01,5.89
New Visions AIM Charter High School I,6,"2017, 2018, 2019, 2020, 2022, 2023",Transfer School,High school,11212,Bedford Stuyvesant - Crown Heights,0.0,100.0,0.0,0.0,47.6,11.1
New Visions AIM Charter High School II,6,"2017, 2018, 2019, 2020, 2022, 2023",Transfer School,High school,10459,Hunts Point - Mott Haven,0.0,46.15,53.85,0.0,59.5,30.78
New Visions Charter High School for Advanced Math,6,"2017, 2018, 2019, 2020, 2022, 2023",General Academic,High school,11235,Coney Island - Sheepshead Bay ,0.0,64.39,35.61,0.0,61.25,43.6
New Visions Charter High School for the Humanities,6,"2017, 2018, 2019, 2020, 2022, 2023",General Academic,High school,11235,Coney Island - Sheepshead Bay ,0.0,43.09,56.91,0.0,68.98,68.28
Newtown High School,6,"2017, 2018, 2019, 2020, 2022, 2023",General Academic,High school,11373,West Queens,23.87,2.44,68.05,5.64,69.57,69.16
Northside Charter High School,6,"2017, 2018, 2019, 2020, 2022, 2023",General Academic,High school,11222,Greenpoint,0.0,34.38,65.62,0.0,56.72,31.28
AECI 1 Charter School,6,"2017, 2018, 2019, 2020, 2022, 2023",General Academic,High school,10451,High Bridge - Morrisania,0.0,29.6,70.4,0.0,68.83,66.44
NYC iSchool,6,"2017, 2018, 2019, 2020, 2022, 2023",General Academic,High school,10013,Greenwich Village - SoHo,0.0,18.0,46.0,36.0,74.22,86.01
Olympus Academy,6,"2017, 2018, 2019, 2020, 2022, 2023",Transfer School,High school,11236,Canarsie - Flatlands,0.0,100.0,0.0,0.0,62.3,44.0
Opportunity Charter School,6,"2017, 2018, 2019, 2020, 2022, 2023",General Academic,High school,10026,Central Harlem - Morningside Heights,0.0,0.0,100.0,0.0,54.2,34.4
Orchard Collegiate Academy,6,"2017, 2018, 2019, 2020, 2022, 2023",General Academic,High school,10002,Union Square - Lower East Side,13.04,21.74,65.22,0.0,67.79,65.23
Origins High School,6,"2017, 2018, 2019, 2020, 2022, 2023",General Academic,High school,11235,Coney Island - Sheepshead Bay ,21.43,26.53,0.0,52.04,63.99,57.16
Pace High School,6,"2017, 2018, 2019, 2020, 2022, 2023",General Academic,High school,10002,Union Square - Lower East Side,14.38,30.14,55.48,0.0,76.58,80.1
Park East High School,6,"2017, 2018, 2019, 2020, 2022, 2023",General Academic,High school,10029,East Harlem,0.0,32.08,67.92,0.0,77.88,90.58
Park Slope Collegiate,6,"2017, 2018, 2019, 2020, 2022, 2023",General Academic,High school,11215,Downtown - Heights - Park Slope,3.61,25.3,44.58,26.51,63.28,51.83
Pathways College Preparatory School: A College Board School,6,"2017, 2018, 2019, 2020, 2022, 2023",General Academic,High school,11412,Jamaica,10.29,82.35,7.35,0.0,74.34,75.74
Pelham Lab High School,6,"2017, 2018, 2019, 2020, 2022, 2023",General Academic,High school,10461,Pelham - Throgs Neck,0.0,26.53,73.47,0.0,59.39,42.84
Pelham Preparatory Academy,6,"2017, 2018, 2019, 2020, 2022, 2023",General Academic,High school,10469,Northeast Bronx,0.0,47.62,52.38,0.0,63.9,49.98
Performing Arts and Technology High School,6,"2017, 2018, 2019, 2020, 2022, 2023",General Academic,High school,11207,East New York,0.0,68.14,31.86,0.0,64.95,65.5
Port Richmond High School,6,"2017, 2018, 2019, 2020, 2022, 2023",General Academic,High school,10302,Port Richmond,6.57,21.53,59.31,12.59,63.06,57.31
Preparatory Academy for Writers: A College Board School,6,"2017, 2018, 2019, 2020, 2022, 2023",General Academic,High school,11413,Southeast Queens,4.68,81.87,13.45,0.0,65.32,62.55
Professional Pathways High School,6,"2017, 2018, 2019, 2020, 2022, 2023",Transfer School,High school,11235,Coney Island - Sheepshead Bay ,0.0,30.23,46.51,23.26,53.03,20.94
Professional Performing Arts High School,6,"2017, 2018, 2019, 2020, 2022, 2023",General Academic,High school,10036,Chelsea - Clinton,0.0,25.93,40.74,33.33,78.87,88.89
PROGRESS High School for Professional Careers,6,"2017, 2018, 2019, 2020, 2022, 2023",General Academic,High school,11211,Greenpoint,0.0,20.93,79.07,0.0,48.77,10.1
Queens Collegiate: A College Board School,6,"2017, 2018, 2019, 2020, 2022, 2023",General Academic,High school,11432,Jamaica,26.92,40.0,33.08,0.0,61.48,46.15
