year,school_name_x,school_name_y,ptr
2020,OLYMPUS ACADEMY,Olympus Academy,11.7
2022,OLYMPUS ACADEMY,Olympus Academy,11.4
2019,ORIGINS HIGH SCHOOL,Origins High School,11.9
2020,ORIGINS HIGH SCHOOL,Origins High School,11.7
2022,ORIGINS HIGH SCHOOL,Origins High School,12.0
2019,PACE HIGH SCHOOL,Pace High School,15.1
2020,PACE HIGH SCHOOL,Pace High School,13.7
2022,PACE HIGH SCHOOL,Pace High School,13.9
2019,PAN AMERICAN INTERNATIONAL HIGH SCHOOL,Pan American International High School,11.0
2020,PAN AMERICAN INTERNATIONAL HIGH SCHOOL,Pan American International High School,13.7
2022,PAN AMERICAN INTERNATIONAL HIGH SCHOOL,Pan American International High School,13.4
2019,PAN AMERICAN INTERNATIONAL HIGH SCHOOL AT MONROE,Pan American International High School,12.3
2020,PAN AMERICAN INTERNATIONAL HIGH SCHOOL AT MONROE,Pan American International High School,11.9
2022,PAN AMERICAN INTERNATIONAL HIGH SCHOOL AT MONROE,Pan American International High School,11.3
2019,PARK EAST HIGH SCHOOL,Park East High School,12.0
2020,PARK EAST HIGH SCHOOL,Park East High School,11.8
2022,PARK EAST HIGH SCHOOL,Park East High School,11.8
2019,PARK SLOPE COLLEGIATE,Park Slope Collegiate,13.0
2020,PARK SLOPE COLLEGIATE,Park Slope Collegiate,11.7
2022,PARK SLOPE COLLEGIATE,Park Slope Collegiate,12.0
2019,PATHWAYS COLLEGE PREPARATORY SCHOOL: A COLLEGE BOARD SCHOOL,Pathways College Preparatory School: A College Board School,16.6
2020,PATHWAYS COLLEGE PREPARATORY SCHOOL: A COLLEGE BOARD SCHOOL,Pathways College Preparatory School: A College Board School,16.2
2022,PATHWAYS COLLEGE PREPARATORY SCHOOL: A COLLEGE BOARD SCHOOL,Pathways College Preparatory School: A College Board School,16.1
2019,PATHWAYS IN TECHNOLOGY EARLY COLLEGE HIGH SCHOOL (P-TECH),Pathways in Technology Early College High School (P-Tech),17.1
2020,PATHWAYS IN TECHNOLOGY EARLY COLLEGE HIGH SCHOOL (P-TECH),Pathways in Technology Early College High School (P-Tech),18.8
2022,PATHWAYS IN TECHNOLOGY EARLY COLLEGE HIGH SCHOOL (P-TECH),Pathways in Technology Early College High School (P-Tech),18.7
2019,PELHAM LAB HIGH SCHOOL,Pelham Lab High School,11.2
2020,PELHAM LAB HIGH SCHOOL,Pelham Lab High School,11.4
2022,PELHAM LAB HIGH SCHOOL,Pelham Lab High School,11.2
2019,PELHAM PREPARATORY ACADEMY,Pelham Preparatory Academy,17.2
2020,PELHAM PREPARATORY ACADEMY,Pelham Preparatory Academy,15.1
2022,PELHAM PREPARATORY ACADEMY,Pelham Preparatory Academy,15.7
