School Name,DBN,latitude,longitude,formatted_address,Neighborhood,ZIP Code
High School for Dual Language and Asian Studies,71M545,40.717329,-73.989329,350 GRAND STREET,Union Square - Lower East Side,10002
High School for Environmental Studies,71M400,40.767848,-73.98861,444 WEST 56 STREET,Chelsea - Clinton,10019
High School for Excellence and Innovation,71M423,40.865556,-73.925464,650 ACADEMY STREET,Washington Heights - Inwood,10034
High School for Health Professions and Human Services,71M420,40.732665,-73.98259,345 EAST 15 STREET,Union Square - Lower East Side,10003
High School for Innovation in Advertising and Media,73K617,40.640543,-73.898601,1600 ROCKAWAY PARKWAY,Canarsie - Flatlands,11236
High School for Law and Public Service,71M467,40.856532,-73.92606,549 AUDUBON AVENUE,Washington Heights - Inwood,10040
High School for Law Enforcement and Public Safety,77Q690,40.685838,-73.783438,116-25 GUY R BREWER BOULEVARD,Jamaica,11434
"High School for Law, Advocacy and Community Justice",71M492,40.774891,-73.985608,122 AMSTERDAM AVENUE,Upper West Side,10023
High School for Media and Communications,71M463,40.856532,-73.92606,549 AUDUBON AVENUE,Washington Heights - Inwood,10040
High School for Medical Professions,73K633,40.640543,-73.898601,1600 ROCKAWAY PARKWAY,Canarsie - Flatlands,11236
High School for Public Service: Heroes of Tomorrow,73K546,40.658671,-73.943839,600 KINGSTON AVENUE,East Flatbush - Flatbush,11203
High School for Service & Learning at Erasmus,73K539,40.649602,-73.957173,911 FLATBUSH AVENUE,East Flatbush - Flatbush,11226
High School for Teaching and the Professions,72X433,40.869061,-73.897066,2780 RESERVOIR AVENUE,Fordham - Bronx Park,10468
High School for Violin and Dance,72X543,40.827455,-73.90392,1110 BOSTON ROAD,High Bridge - Morrisania,10456
High School of American Studies at Lehman College,72X696,40.874725,-73.895543,2925 GOULDEN AVENUE,Fordham - Bronx Park,10458
High School of Applied Communication,77Q267,40.744175,-73.937004,30-20 THOMSON AVENUE,Long Island City - Astoria,11101
High School of Arts and Technology,71M494,40.774891,-73.985608,122 AMSTERDAM AVENUE,Upper West Side,10023
High School of Computers and Technology,72X275,40.875172,-73.861649,800 EAST GUN HILL ROAD,Fordham - Bronx Park,10467
High School of Economics and Finance,71M489,40.70927,-74.012328,100 TRINITY PLACE,Lower Manhattan,10006
High School of Hospitality Management,71M296,40.765474,-73.9927,525 WEST 50 STREET,Chelsea - Clinton,10019
High School of Language and Innovation,72X509,40.860443,-73.860729,925 ASTOR AVENUE,Northeast Bronx,10469
High School of Sports Management,73K348,40.593028,-73.986313,2630 BENSON AVENUE,Bensonhurst - Bay Ridge,11214
High School of World Cultures,72X550,40.832508,-73.878191,1300 BOYNTON AVENUE,Pelham - Throgs Neck,10472
Hillcrest High School,77Q505,40.709461,-73.803001,160-05 HIGHLAND AVENUE,Jamaica,11432
Hillside Arts & Letters Academy,77Q325,40.714551,-73.798658,167-01 GOTHIC DRIVE,Jamaica,11432
Hostos-Lincoln Academy of Science,72X500,40.814857,-73.912038,600 SAINT ANN'S AVENUE,Hunts Point - Mott Haven,10455
Hudson High School of Learning Technologies,71M437,40.743407,-74.00254,351 WEST 18 STREET,Chelsea - Clinton,10011
Humanities Preparatory Academy,71M605,40.743407,-74.00254,351 WEST 18 STREET,Chelsea - Clinton,10011
In-Tech Academy (M.S. / High School 368),10X368,40.877935,-73.913694,2975 TIBBETT AVENUE,Kingsbridge - Riverdale,10463
