year,school_name_x,school_name_y,ptr,neighborhood,zip_code
2019,"BRONX SCHOOL FOR LAW, GOVERNMENT AND JUSTICE","Bronx School for Law, Government and Justice",12.8,High Bridge - Morrisania,10451
2020,"BRONX SCHOOL FOR LAW, GOVERNMENT AND JUSTICE","Bronx School for Law, Government and Justice",12.4,High Bridge - Morrisania,10451
2022,"BRONX SCHOOL FOR LAW, GOVERNMENT AND JUSTICE","Bronx School for Law, Government and Justice",12.2,High Bridge - Morrisania,10451
2019,BRONX SCHOOL OF LAW AND FINANCE,Bronx School of Law and Finance,14,Kingsbridge - Riverdale,10463
2020,BRONX SCHOOL OF LAW AND FINANCE,Bronx School of Law and Finance,15.5,Kingsbridge - Riverdale,10463
2022,BRONX SCHOOL OF LAW AND FINANCE,Bronx School of Law and Finance,15,Kingsbridge - Riverdale,10463
2019,BRONX STUDIO SCHOOL FOR WRITERS AND ARTISTS,Bronx Studio School for Writers and Artists,12.1,Hunts Point - Mott Haven,10459
2020,BRONX STUDIO SCHOOL FOR WRITERS AND ARTISTS,Bronx Studio School for Writers and Artists,11.6,Hunts Point - Mott Haven,10459
2022,BRONX STUDIO SCHOOL FOR WRITERS AND ARTISTS,Bronx Studio School for Writers and Artists,11.8,Hunts Point - Mott Haven,10459
2019,BRONX THEATRE HIGH SCHOOL,Bronx Theatre High School,14.1,Kingsbridge - Riverdale,10463
2020,BRONX THEATRE HIGH SCHOOL,Bronx Theatre High School,15.2,Kingsbridge - Riverdale,10463
2022,BRONX THEATRE HIGH SCHOOL,Bronx Theatre High School,15,Kingsbridge - Riverdale,10463
2019,BRONXDALE HIGH SCHOOL,Bronxdale High School,10.8,Northeast Bronx,10469
2020,BRONXDALE HIGH SCHOOL,Bronxdale High School,10.4,Northeast Bronx,10469
2022,BRONXDALE HIGH SCHOOL,Bronxdale High School,10.2,Northeast Bronx,10469
2019,BROOKLYN ACADEMY OF SCIENCE AND THE ENVIRONMENT,Brooklyn Academy of Science and the Environment,17.3,East Flatbush - Flatbush,11225
2020,BROOKLYN ACADEMY OF SCIENCE AND THE ENVIRONMENT,Brooklyn Academy of Science and the Environment,15.9,East Flatbush - Flatbush,11225
2022,BROOKLYN ACADEMY OF SCIENCE AND THE ENVIRONMENT,Brooklyn Academy of Science and the Environment,16.3,East Flatbush - Flatbush,11225
2019,BROOKLYN COLLEGIATE: A COLLEGE BOARD SCHOOL,Brooklyn Collegiate: A College Board School,10.7,Bedford Stuyvesant - Crown Heights,11233
2020,BROOKLYN COLLEGIATE: A COLLEGE BOARD SCHOOL,Brooklyn Collegiate: A College Board School,13.7,Bedford Stuyvesant - Crown Heights,11233
2022,BROOKLYN COLLEGIATE: A COLLEGE BOARD SCHOOL,Brooklyn Collegiate: A College Board School,14.5,Bedford Stuyvesant - Crown Heights,11233
2019,BROOKLYN DEMOCRACY ACADEMY,Brooklyn Democracy Academy,13.7,Bedford Stuyvesant - Crown Heights,11212
2020,BROOKLYN DEMOCRACY ACADEMY,Brooklyn Democracy Academy,12.2,Bedford Stuyvesant - Crown Heights,11212
2022,BROOKLYN DEMOCRACY ACADEMY,Brooklyn Democracy Academy,11.8,Bedford Stuyvesant - Crown Heights,11212
2019,BROOKLYN FRONTIERS HIGH SCHOOL,Brooklyn Frontiers High School,7.3,Downtown - Heights - Park Slope,11201
2020,BROOKLYN FRONTIERS HIGH SCHOOL,Brooklyn Frontiers High School,7.7,Downtown - Heights - Park Slope,11201
2022,BROOKLYN FRONTIERS HIGH SCHOOL,Brooklyn Frontiers High School,7.8,Downtown - Heights - Park Slope,11201
2019,BROOKLYN HIGH SCHOOL FOR LAW AND TECHNOLOGY,Brooklyn High School for Law and Technology,15.5,Williamsburg - Bushwick,11221
2020,BROOKLYN HIGH SCHOOL FOR LAW AND TECHNOLOGY,Brooklyn High School for Law and Technology,14.6,Williamsburg - Bushwick,11221
2022,BROOKLYN HIGH SCHOOL FOR LAW AND TECHNOLOGY,Brooklyn High School for Law and Technology,14.6,Williamsburg - Bushwick,11221
2019,BROOKLYN HIGH SCHOOL FOR LEADERSHIP AND COMMUNITY SERVICE,Brooklyn High School for Leadership and Community,11.8,Downtown - Heights - Park Slope,11205
2020,BROOKLYN HIGH SCHOOL FOR LEADERSHIP AND COMMUNITY SERVICE,Brooklyn High School for Leadership and Community,9.6,Downtown - Heights - Park Slope,11205
2022,BROOKLYN HIGH SCHOOL FOR LEADERSHIP AND COMMUNITY SERVICE,Brooklyn High School for Leadership and Community,8.1,Downtown - Heights - Park Slope,11205
2019,BROOKLYN HIGH SCHOOL OF THE ARTS,Brooklyn High School of the Arts,14.5,Downtown - Heights - Park Slope,11217
2020,BROOKLYN HIGH SCHOOL OF THE ARTS,Brooklyn High School of the Arts,14.2,Downtown - Heights - Park Slope,11217
2022,BROOKLYN HIGH SCHOOL OF THE ARTS,Brooklyn High School of the Arts,14.3,Downtown - Heights - Park Slope,11217
2019,BROOKLYN INSTITUTE FOR LIBERAL ARTS,Brooklyn Institute for Liberal Arts,15.1,East Flatbush - Flatbush,11203
2020,BROOKLYN INSTITUTE FOR LIBERAL ARTS,Brooklyn Institute for Liberal Arts,14.3,East Flatbush - Flatbush,11203
2022,BROOKLYN INSTITUTE FOR LIBERAL ARTS,Brooklyn Institute for Liberal Arts,14.1,East Flatbush - Flatbush,11203
2019,BROOKLYN LAB SCHOOL,Brooklyn Lab School,13.2,East New York,11208
2020,BROOKLYN LAB SCHOOL,Brooklyn Lab School,12.2,East New York,11208
2022,BROOKLYN LAB SCHOOL,Brooklyn Lab School,11.9,East New York,11208
2019,BROOKLYN PREPARATORY HIGH SCHOOL,Brooklyn Preparatory High School,15.1,Greenpoint,11211
2020,BROOKLYN PREPARATORY HIGH SCHOOL,Brooklyn Preparatory High School,15.2,Greenpoint,11211
2022,BROOKLYN PREPARATORY HIGH SCHOOL,Brooklyn Preparatory High School,15.3,Greenpoint,11211
2019,BROOKLYN SCHOOL FOR MUSIC & THEATRE,Brooklyn School for Music & Theatre,13.4,East Flatbush - Flatbush,11225
2020,BROOKLYN SCHOOL FOR MUSIC & THEATRE,Brooklyn School for Music & Theatre,12.6,East Flatbush - Flatbush,11225
2022,BROOKLYN SCHOOL FOR MUSIC & THEATRE,Brooklyn School for Music & Theatre,12.8,East Flatbush - Flatbush,11225
2019,BROOKLYN TECHNICAL HIGH SCHOOL,Brooklyn Technical High School,21.8,Downtown - Heights - Park Slope,11217
2020,BROOKLYN TECHNICAL HIGH SCHOOL,Brooklyn Technical High School,21.5,Downtown - Heights - Park Slope,11217
2022,BROOKLYN TECHNICAL HIGH SCHOOL,Brooklyn Technical High School,21.5,Downtown - Heights - Park Slope,11217
2019,BROOKLYN THEATRE ARTS HIGH SCHOOL,Brooklyn Theatre Arts High School,18.4,Canarsie - Flatlands,11236
2020,BROOKLYN THEATRE ARTS HIGH SCHOOL,Brooklyn Theatre Arts High School,16.4,Canarsie - Flatlands,11236
2022,BROOKLYN THEATRE ARTS HIGH SCHOOL,Brooklyn Theatre Arts High School,15.8,Canarsie - Flatlands,11236
2019,BROWNSVILLE ACADEMY HIGH SCHOOL,Brownsville Academy High School,14,Bedford Stuyvesant - Crown Heights,11212
2020,BROWNSVILLE ACADEMY HIGH SCHOOL,Brownsville Academy High School,11.6,Bedford Stuyvesant - Crown Heights,11212
2022,BROWNSVILLE ACADEMY HIGH SCHOOL,Brownsville Academy High School,11.3,Bedford Stuyvesant - Crown Heights,11212
2019,BUSHWICK COMMUNITY HIGH SCHOOL,Bushwick Community High School,11,Williamsburg - Bushwick,11221
2020,BUSHWICK COMMUNITY HIGH SCHOOL,Bushwick Community High School,12.4,Williamsburg - Bushwick,11221
2022,BUSHWICK COMMUNITY HIGH SCHOOL,Bushwick Community High School,11.7,Williamsburg - Bushwick,11221
2019,BUSHWICK LEADERS HIGH SCHOOL FOR ACADEMIC EXCELLENCE,Bushwick Leaders High School for Academic Excellen,10.4,Williamsburg - Bushwick,11221
2020,BUSHWICK LEADERS HIGH SCHOOL FOR ACADEMIC EXCELLENCE,Bushwick Leaders High School for Academic Excellen,11.5,Williamsburg - Bushwick,11221
2022,BUSHWICK LEADERS HIGH SCHOOL FOR ACADEMIC EXCELLENCE,Bushwick Leaders High School for Academic Excellen,11.3,Williamsburg - Bushwick,11221
2019,BUSINESS OF SPORTS SCHOOL,Business Of Sports School,11.8,Chelsea - Clinton,10019
2020,BUSINESS OF SPORTS SCHOOL,Business Of Sports School,12.4,Chelsea - Clinton,10019
2022,BUSINESS OF SPORTS SCHOOL,Business Of Sports School,12.4,Chelsea - Clinton,10019
2019,BUSINESS TECHNOLOGY EARLY COLLEGE HIGH SCHOOL,Business Technology Early College High School,16.5,Southeast Queens,11427
2020,BUSINESS TECHNOLOGY EARLY COLLEGE HIGH SCHOOL,Business Technology Early College High School,15.2,Southeast Queens,11427
2022,BUSINESS TECHNOLOGY EARLY COLLEGE HIGH SCHOOL,Business Technology Early College High School,15.1,Southeast Queens,11427
2019,CAMBRIA HEIGHTS ACADEMY,Cambria Heights Academy,13.4,Jamaica,11432
2020,CAMBRIA HEIGHTS ACADEMY,Cambria Heights Academy,13,Jamaica,11432
2022,CAMBRIA HEIGHTS ACADEMY,Cambria Heights Academy,13,Jamaica,11432
2019,CASCADES HIGH SCHOOL,Cascades High School,12.2,Union Square - Lower East Side,10002
2020,CASCADES HIGH SCHOOL,Cascades High School,13.1,Union Square - Lower East Side,10002
2022,CASCADES HIGH SCHOOL,Cascades High School,12,Union Square - Lower East Side,10002
2019,CENTRAL PARK EAST HIGH SCHOOL,Central Park East High School,15.7,East Harlem,10029
2020,CENTRAL PARK EAST HIGH SCHOOL,Central Park East High School,16.2,East Harlem,10029
2022,CENTRAL PARK EAST HIGH SCHOOL,Central Park East High School,15.9,East Harlem,10029
2019,CHANNEL VIEW SCHOOL FOR RESEARCH,Channel View School for Research,13.9,Rockaway,11694
2020,CHANNEL VIEW SCHOOL FOR RESEARCH,Channel View School for Research,14,Rockaway,11694
