Year,School Name,DBN,School Code,School Level,Leadership,Teachers,Other Staff,Male Count,Male Average Years in Title,Male Average Years at School,Female Count,Female Average Years in Title,Female Average Years at School
2022,ROBERT H. GODDARD HIGH SCHOOL OF COMMUNICATION ART,77Q308,Q308,HIGH SCHOOL,3,41,9,15,12.4,7.5,26,13.4,7.9
2022,BENJAMIN FRANKLIN HIGH SCHOOL FOR FINANCE & INFORM,77Q313,Q313,HIGH SCHOOL,3,33,3,13,11.8,3.3,20,9.8,4
2022,EPIC HIGH SCHOOL - SOUTH,77Q314,Q314,HIGH SCHOOL,3,28,7,13,10.3,2.5,15,4.9,2.3
2022,BUSINESS TECHNOLOGY EARLY COLLEGE HIGH SCHOOL,77Q315,Q315,HIGH SCHOOL,2,35,7,15,8.1,4.3,20,9.1,4.3
2022,ROCKAWAY PARK HIGH SCHOOL FOR ENVIRONMENTAL SUSTAI,77Q324,Q324,HIGH SCHOOL,3,26,6,10,12.4,5.7,16,11.7,7.1
2022,HILLSIDE ARTS & LETTERS ACADEMY,77Q325,Q325,HIGH SCHOOL,3,30,4,6,14.3,4.1,24,8.6,5.6
2022,CAMBRIA HEIGHTS ACADEMY,77Q326,Q326,HIGH SCHOOL,2,27,4,14,7.1,4.2,13,10.1,4.7
2022,HIGH SCHOOL FOR COMMUNITY LEADERSHIP,77Q328,Q328,HIGH SCHOOL,3,28,7,11,7.4,5.1,17,10.1,6.3
2022,EPIC HIGH SCHOOL - NORTH,77Q334,Q334,HIGH SCHOOL,2,32,5,13,5.3,2.7,19,6.4,3
2022,QUEENS SATELLITE HIGH SCHOOL FOR OPPORTUNITY,77Q338,Q338,HIGH SCHOOL,2,14,4,*,,,*,,
2022,JAMAICA GATEWAY TO THE SCIENCES,77Q350,Q350,HIGH SCHOOL,3,32,6,15,9.1,4.6,17,7.5,5.2
2022,ROCKAWAY COLLEGIATE HIGH SCHOOL,77Q351,Q351,HIGH SCHOOL,2,25,7,9,4.7,2.4,16,8.9,4.3
2022,AUGUST MARTIN HIGH SCHOOL,77Q400,Q400,HIGH SCHOOL,4,37,7,13,8.4,4,24,8.2,3
2022,BENJAMIN N. CARDOZO HIGH SCHOOL,77Q415,Q415,HIGH SCHOOL,10,192,37,76,14.6,12.7,116,13.8,10.2
2022,JOHN BOWNE HIGH SCHOOL,77Q425,Q425,HIGH SCHOOL,15,197,55,75,13.9,10.8,122,11.6,9.1
2022,FRANCIS LEWIS HIGH SCHOOL,77Q430,Q430,HIGH SCHOOL,11,240,69,83,13.3,9.9,157,12.4,10.1
2022,MARTIN VAN BUREN HIGH SCHOOL,77Q435,Q435,HIGH SCHOOL,9,73,18,28,19,13.8,45,15.4,11.7
