Year,School Name,DBN,School Code,School Level,Leadership,Teachers,Other Staff,Male Count,Male Average Years in Title,Male Average Years at School,Female Count,Female Average Years in Title,Female Average Years at School,American Indian/Alaskan Native (AI/AN) Count,AI/AN Average Years in Title,AI/AN Average Years at School,Asian Count,Asian Average Years in Title,Asian Average Years at School,Black/African American (B/AA) Count,B/AA Average Years in Title,B/AA Average Years at School,Hawaiian/Pacific Islander (H/PI) Count,H/PI Average Years in Title,H/PI Average Years at School,Hispanic Count,Hispanic Average Years in Title,Hispanic Average Years at School,White Count,White Average Years in Title,White Average Years at School,Multiple Count,Multiple Average Years in Title,Multiple Average Years at School,Unknown/Other (U/O) Count,U/O Average Years in Title,U/O Average Years at School
2020,,03M149,,,2,26,9,*,,,*,,,*,*,*,*,,,*,,,*,*,*,*,,,13,3.5,1.8,*,*,*,*,,
2020,,03M163,,,2,47,18,5,8.2,7.6,42,11.7,8.7,*,*,*,*,,,*,,,*,*,*,11,12.7,9.6,30,11.5,8.9,*,*,*,*,,
2020,,03M165,,,3,37,10,*,,,*,,,*,*,*,*,,,*,,,*,*,*,9,6.3,6.1,23,6.5,5.3,*,*,*,*,,
2020,,03M166,,,2,39,10,5,13.5,9.1,34,8.1,6.4,*,*,*,*,,,*,,,*,*,*,*,,,34,8.2,6.5,*,*,*,*,,
2020,,03M180,,,3,43,13,9,7.9,5.8,34,9.8,7.7,*,*,*,*,,,9,14.4,11.6,*,*,*,8,13.1,12.2,25,6.6,4.4,*,*,*,*,,
2020,,03M185,,,2,33,13,5,10.7,2.3,28,8.0,3.8,*,*,*,*,,,5,16.4,10.7,*,*,*,8,8.2,2.7,17,5.4,2.4,*,*,*,*,,
2020,,03M191,,,3,50,24,7,9.3,2.4,43,9.2,6.0,*,*,*,5,7.8,3.8,9,15.3,9.7,*,*,*,6,12.3,8.1,27,7.4,4.1,*,*,*,*,,
2020,,03M199,,,3,53,30,*,,,*,,,*,*,*,*,,,*,,,*,*,*,*,,,43,11.2,8.7,*,*,*,*,,
2020,,03M241,,,1,15,10,*,,,*,,,*,*,*,*,,,6,9.2,3.8,*,*,*,*,,,5,7.3,2.2,*,*,*,*,,
2020,,03M242,,,1,19,7,*,,,*,,,*,*,*,*,,,7,19.2,9.9,*,*,*,5,3.6,2.6,5,6.5,4.1,*,*,*,*,,
2020,,03M243,,,1,14,1,7,15.2,12.9,7,20.4,16.0,*,*,*,*,,,*,,,*,*,*,*,,,9,19.8,15.1,*,*,*,*,,
2020,,03M245,,,2,25,4,6,10.0,7.6,19,12.9,10.0,*,*,*,*,,,*,,,*,*,*,*,,,16,10.9,8.5,*,*,*,*,,
2020,,03M247,,,2,22,2,7,6.3,3.7,15,4.8,3.3,*,*,*,*,,,*,,,*,*,*,10,5.7,3.7,10,4.7,2.9,*,*,*,*,,
2020,,03M250,,,1,15,3,5,12.8,9.5,10,10.8,9.5,*,*,*,*,,,*,,,*,*,*,*,,,10,10.1,9.0,*,*,*,*,,
2020,,03M256,,,1,16,6,5,10.1,5.3,11,7.9,6.3,*,*,*,*,,,*,,,*,*,*,*,,,11,8.1,5.9,*,*,*,*,,
2020,,03M258,,,2,23,6,7,7.4,6.7,16,8.4,3.8,*,*,*,*,,,*,,,*,*,*,*,,,21,8.3,4.7,*,*,*,*,,
2020,WEST END SECONDARY SCHOOL,03M291,,,3,37,6,10,7.6,1.2,26,4.5,1.4,*,*,*,*,,,*,,,*,*,*,*,,,28,5.1,1.4,*,*,*,*,,
2020,,03M333,,,3,52,37,10,8.6,5.1,42,7.5,6.0,*,*,*,*,,,*,,,*,*,*,*,,,45,8.1,6.1,*,*,*,*,,
2020,,03M334,,,2,29,3,7,11.6,6.3,22,10.5,5.8,*,*,*,*,,,*,,,*,*,*,*,,,25,11.5,6.3,*,*,*,*,,
2020,,03M421,,,2,20,5,6,2.3,1.4,14,6.0,4.0,*,*,*,*,,,5,6.6,4.0,*,*,*,8,2.9,2.1,*,,,*,*,*,*,,
2020,,03M452,,,1,30,13,7,6.4,3.1,23,8.8,3.6,*,*,*,5,7.1,4.9,*,,,*,*,*,*,,,18,8.2,3.4,*,*,*,*,,
2020,SPECIAL MUSIC SCHOOL,03M859,,,2,24,4,9,9.4,3.0,15,10.1,3.0,*,*,*,5,10.4,2.4,*,,,*,*,*,*,,,17,9.8,3.2,*,*,*,*,,
2020,FREDERICK DOUGLASS ACADEMY II SECONDARY SCHOOL,03M860,,,3,29,10,11,8.5,2.0,18,5.0,2.7,*,*,*,*,,,11,6.0,1.5,*,*,*,5,5.7,2.2,11,6.9,2.4,*,*,*,*,,
2020,,03M862,,,2,32,8,7,5.0,3.9,25,6.3,4.6,*,*,*,*,,,*,,,*,*,*,7,5.6,3.7,21,6.3,4.6,*,*,*,*,,
2020,,04M007,,,1,39,12,7,7.4,5.8,32,10.9,8.7,*,*,*,*,,,*,,,*,*,*,10,8.6,6.2,23,10.9,9.2,*,*,*,*,,
2020,,04M012,,,3,25,8,8,7.7,4.9,17,6.6,3.3,*,*,*,6,6.1,3.3,*,,,*,*,*,*,,,10,6.1,3.5,*,*,*,*,,
2020,,04M037,,,1,26,9,*,,,*,,,*,*,*,*,,,*,,,*,*,*,*,,,18,5.2,3.8,*,*,*,*,,
2020,,04M038,,,2,25,16,*,,,*,,,*,*,*,*,,,5,10.5,5.1,*,*,*,10,2.9,1.8,7,4.3,4.0,*,*,*,*,,
2020,,04M057,,,3,70,20,12,3.9,2.0,58,10.6,8.0,*,*,*,5,3.1,2.1,22,14.7,10.0,*,*,*,25,7.9,5.7,15,8.0,7.4,*,*,*,*,,
2020,,04M072,,,3,58,15,13,6.1,3.8,45,8.1,7.1,*,*,*,*,,,7,10.9,6.9,*,*,*,19,11.9,10.7,30,4.6,3.8,*,*,*,*,,
2020,,04M083,,,2,33,9,*,,,*,,,*,*,*,*,,,*,,,*,*,*,13,14.3,11.8,17,11.2,9.7,*,*,*,*,,
2020,,04M096,,,2,43,13,9,12.8,7.8,34,10.7,8.0,*,*,*,*,,,5,9.2,2.4,*,*,*,12,8.7,6.7,25,13.2,10.0,*,*,*,*,,
2020,,04M102,,,1,33,18,*,,,*,,,*,*,*,5,3.5,2.4,11,13.6,12.6,*,*,*,5,13.0,11.3,11,7.8,4.2,*,*,*,*,,
2020,,04M108,,,2,47,18,5,15.7,10.4,42,14.3,12.3,*,*,*,*,,,6,15.2,14.5,*,*,*,13,16.8,13.4,25,13.7,11.6,*,*,*,*,,
2020,,04M112,,,2,61,15,*,,,*,,,*,*,*,*,,,*,,,*,*,*,22,11.6,9.4,35,9.9,7.3,*,*,*,*,,
2020,,04M146,,,2,39,35,8,11.4,4.1,31,10.9,7.1,*,*,*,*,,,6,15.9,12.5,*,*,*,11,11.3,7.4,20,10.3,4.7,*,*,*,*,,
2020,,04M155,,,2,26,12,*,,,*,,,*,*,*,*,,,*,,,*,*,*,14,11.9,9.0,11,6.8,5.0,*,*,*,*,,
2020,,04M171,,,3,52,16,9,12.6,9.2,43,12.3,10.5,*,*,*,6,13.8,13.6,5,14.3,10.7,*,*,*,15,13.9,12.0,26,10.9,8.4,*,*,*,*,,
2020,,04M182,,,2,34,6,5,6.9,1.4,29,12.6,8.1,*,*,*,*,,,5,22.7,14.9,*,*,*,20,11.4,7.5,7,7.4,1.6,*,*,*,*,,
