Year,School Name,DBN,Leadership,Teachers,Other Staff,Male Count,Male Average Years in Title,Male Average Years at School,Female Count,Female Average Years in Title,Female Average Years at School,American Indian/Alaskan Native (AI/AN) Count,AI/AN Average Years in Title,AI/AN Average Years at School,Asian Count,Asian Average Years in Title,Asian Average Years at School,Black/African American (B/AA) Count,B/AA Average Years in Title,B/AA Average Years at School,Hawaiian/Pacific Islander (H/PI) Count,H/PI Average Years in Title,H/PI Average Years at School,Hispanic Count,Hispanic Average Years in Title,Hispanic Average Years at School,White Count,White Average Years in Title,White Average Years at School,Multiple/Other (M/O) Count,M/O Average Years in Title,M/O Average Years at School
2020,City College Academy of the Arts,06M293,4,39,8,13,10.2,6.8,26,11,6.7,*,*,*,*,,,5,14.6,6.1,*,*,*,11,11.6,6.9,21,10.2,7.3,*,*,*
2021,City College Academy of the Arts,06M293,4,40,9,13,11.1,7.8,27,11.6,7.4,*,,,*,,,5,15.6,7.1,*,,,11,12.6,7.9,21,11,8.1,*,*,*
2022,City College Academy of the Arts,06M293,4,43,8,15,10.2,6.9,28,9.7,7,*,,,*,,,*,,,*,,,15,9.7,6.2,22,11.1,8.2,*,*,*
2023,City College Academy of the Arts,06M293,2,40,14,14,11,7.3,26,10.2,7.9,*,,,*,,,*,,,*,,,14,10.1,6.9,20,12.2,9.2,*,*,*
2020,"City Polytechnic High School of Engineering, Architecture, and Technology",76K674,3,30,10,13,8.1,4.3,17,6,2.2,*,*,*,*,,,11,8,3.2,*,*,*,*,,,10,8.9,4.3,*,*,*
2021,"City Polytechnic High School of Engineering, Architecture, and Technology",76K674,3,30,11,14,9.2,4.9,16,7.2,3.2,*,,,*,,,11,9,4.2,*,,,*,,,10,10.6,4.9,*,*,*
2022,"City Polytechnic High School of Engineering, Architecture, and Technology",76K674,3,33,12,14,9,5.5,19,7.7,2.7,*,,,*,,,11,10,4.1,*,,,6,2.9,2.9,11,11.1,5.2,*,*,*
2023,"City Polytechnic High School of Engineering, Architecture, and Technology",76K674,3,34,14,16,9.1,5.5,18,5.9,3,*,,,*,,,9,7.1,4.8,*,,,5,4.2,4.2,13,10.7,5,*,*,*
2020,Civic Leadership Academy,77Q293,3,38,11,15,5.8,5.1,23,8.7,5,*,*,*,*,,,5,9,4.3,*,*,*,5,6.9,3.9,23,8.1,5.7,*,*,*
2021,Civic Leadership Academy,77Q293,3,40,11,15,6.6,4.9,25,9.6,5.6,*,,,*,,,5,10,5.3,*,,,7,6.8,3.8,23,9.1,6,*,*,*
2022,Civic Leadership Academy,77Q293,3,43,12,17,6.7,5.2,26,10.1,6,*,,,*,,,6,11.3,7.3,*,,,7,7.8,4.8,27,8.7,5.7,*,*,*
2023,Civic Leadership Academy,77Q293,3,39,13,15,7.7,6.1,24,10.8,6.8,*,,,*,,,5,11.7,8.4,*,,,6,8.7,6.2,25,9.6,6.4,*,*,*
2020,Clara Barton High School,73K600,9,74,45,29,12.7,9,45,14.8,9.1,*,*,*,*,,,37,15.5,9.4,*,*,*,6,11.4,8.6,28,13.2,8.8,*,*,*
2021,Clara Barton High School,73K600,9,77,44,32,13.6,9.1,45,13.8,8.3,*,,,*,,,38,14.8,8.8,*,,,6,12.4,9.6,29,13.3,8.4,*,*,*
2022,Clara Barton High School,73K600,8,86,42,36,12.7,8.5,50,12.6,7.7,*,,,*,,,41,13.8,8.5,*,,,5,12,8.6,33,12.3,7.7,*,*,*
2023,Clara Barton High School,73K600,8,90,41,39,12.7,8.4,51,11.3,7.3,*,,,*,,,43,12.8,8.5,*,,,6,13,7.7,34,11.4,7.1,*,*,*
