Year,School Name,School Type,Regents Exam,Total Tested,Mean Score,Percent Scoring Below 65,Percent Scoring 65 or Above,Percent Scoring 80 or Above,Asian%,Black%,Hispanic%,White%
2023,Academy of Finance and Enterprise,General Academic,Common Core English,238,78.69,10.93,89.07,55.07,24.37,4.2,59.66,11.76
2020,Academy of Hospitality and Tourism,General Academic,Living Environment,14,60.9,42.9,57.1,0.0,0.0,100.0,0.0,0.0
2021,Academy of Hospitality and Tourism,General Academic,Living Environment,14,70.9,42.9,57.1,35.7,0.0,100.0,0.0,0.0
2021,Academy of Hospitality and Tourism,General Academic,Common Core English,22,63.6,36.4,63.6,36.4,0.0,100.0,0.0,0.0
2021,Academy of Hospitality and Tourism,General Academic,Common Core Algebra,35,71.1,17.15,82.85,17.11,17.14,82.86,0.0,0.0
2023,Academy of Hospitality and Tourism,General Academic,Living Environment,38,59.68,65.82,34.18,18.43,0.0,73.68,26.32,0.0
2022,Academy of Hospitality and Tourism,General Academic,Living Environment,76,59.73,56.56,43.44,5.27,0.0,52.63,47.37,0.0
2022,Academy of Hospitality and Tourism,General Academic,Common Core English,98,68.41,26.56,73.44,39.82,0.0,74.49,25.51,0.0
2023,Academy of Hospitality and Tourism,General Academic,Common Core Algebra,127,60.74,51.19,48.81,3.14,7.87,59.06,33.07,0.0
2022,Academy of Hospitality and Tourism,General Academic,Common Core Algebra,133,58.49,66.95,33.05,0.74,5.26,61.65,33.08,0.0
2023,Academy of Hospitality and Tourism,General Academic,Common Core English,142,73.3,21.82,78.18,42.25,6.34,61.27,32.39,0.0
2020,Academy of Innovative Technology,Career Technical,Living Environment,32,51.99,87.49,12.51,0.0,0.0,37.5,62.5,0.0
2020,Academy of Innovative Technology,Career Technical,Common Core Algebra,41,59.73,56.11,43.89,0.0,0.0,36.59,63.41,0.0
2020,Academy of Innovative Technology,Career Technical,Common Core English,62,68.11,32.25,67.75,33.84,0.0,43.55,56.45,0.0
2022,Academy of Innovative Technology,Career Technical,Living Environment,67,66.32,37.32,62.68,23.87,19.4,35.82,44.78,0.0
2023,Academy of Innovative Technology,Career Technical,Common Core English,106,68.58,33.02,66.98,18.88,12.26,38.68,49.06,0.0
2023,Academy of Innovative Technology,Career Technical,Living Environment,109,63.68,47.7,52.3,10.1,6.42,33.03,60.55,0.0
2023,Academy of Innovative Technology,Career Technical,Common Core Algebra,118,63.21,54.22,45.78,5.97,5.08,30.51,64.41,0.0
2022,Academy of Innovative Technology,Career Technical,Common Core Algebra,146,60.65,57.5,42.5,2.76,7.53,34.93,53.42,4.11
2022,Academy of Innovative Technology,Career Technical,Common Core English,204,71.47,25.01,74.99,39.71,5.88,32.84,61.27,0.0
2022,Academy of Medical Technology: A College Board Sch,General Academic,Common Core English,13,68.4,15.4,84.6,15.4,0.0,100.0,0.0,0.0
2020,Academy of Medical Technology: A College Board Sch,General Academic,Living Environment,59,49.51,88.16,11.84,0.0,0.0,37.29,62.71,0.0
2020,Academy of Medical Technology: A College Board Sch,General Academic,Common Core Algebra,61,56.35,75.44,24.56,1.64,0.0,44.26,55.74,0.0
2022,Academy of Medical Technology: A College Board Sch,General Academic,Common Core Algebra,78,61.1,59.02,40.98,5.12,0.0,52.56,47.44,0.0
2022,Academy of Medical Technology: A College Board Sch,General Academic,Living Environment,82,62.77,51.2,48.8,12.19,0.0,45.12,54.88,0.0
2023,Academy of Medical Technology: A College Board Sch,General Academic,Living Environment,92,63.94,51.1,48.9,9.76,0.0,43.48,50.0,6.52
2023,Academy of Medical Technology: A College Board Sch,General Academic,Common Core Algebra,104,61.64,51.96,48.04,5.73,0.0,40.38,59.62,0.0
2023,Academy of Medical Technology: A College Board Sch,General Academic,Common Core English,106,68.1,42.42,57.58,29.21,0.0,44.34,55.66,0.0
2020,Academy of Medical Technology: A College Board Sch,General Academic,Common Core English,110,73.52,23.64,76.36,49.09,7.27,40.91,51.82,0.0
2021,Alfred E. Smith Career and Technical Education Hig,Career Technical,Common Core English,34,64.15,41.2,58.8,35.31,0.0,38.24,61.76,0.0
2021,Alfred E. Smith Career and Technical Education Hig,Career Technical,Living Environment,39,53.23,71.79,28.21,0.0,0.0,25.64,74.36,0.0
2020,Alfred E. Smith Career and Technical Education Hig,Career Technical,Common Core Algebra,44,55.36,75.02,24.98,0.0,0.0,22.73,77.27,0.0
2020,Alfred E. Smith Career and Technical Education Hig,Career Technical,Living Environment,45,52.4,88.9,11.1,2.2,0.0,0.0,100.0,0.0
2021,Alfred E. Smith Career and Technical Education Hig,Career Technical,Common Core Algebra,63,49.36,90.52,9.51,0.0,0.0,25.4,74.6,0.0
2020,Alfred E. Smith Career and Technical Education Hig,Career Technical,Common Core English,63,75.1,17.5,82.5,44.4,0.0,0.0,100.0,0.0
2022,Alfred E. Smith Career and Technical Education Hig,Career Technical,Living Environment,76,54.79,74.99,25.01,7.92,0.0,18.42,81.58,0.0
2023,Alfred E. Smith Career and Technical Education Hig,Career Technical,Living Environment,78,59.44,64.11,35.89,5.15,0.0,28.21,71.79,0.0
2023,Alfred E. Smith Career and Technical Education Hig,Career Technical,Common Core English,97,72.64,26.8,73.2,36.09,0.0,22.68,77.32,0.0
2022,Alfred E. Smith Career and Technical Education Hig,Career Technical,Common Core Algebra,107,53.04,83.19,16.81,0.92,0.0,28.97,71.03,0.0
2023,Alfred E. Smith Career and Technical Education Hig,Career Technical,Common Core Algebra,170,55.1,76.48,23.52,1.16,0.0,30.0,70.0,0.0
2020,Antonia Pantoja Preparatory Academy: A College Boa,General Academic,Common Core Algebra,28,53.2,82.1,17.9,0.0,0.0,0.0,100.0,0.0
2020,Antonia Pantoja Preparatory Academy: A College Boa,General Academic,Living Environment,30,59.92,63.3,36.7,6.64,0.0,20.0,80.0,0.0
2020,Antonia Pantoja Preparatory Academy: A College Boa,General Academic,Common Core English,34,73.39,29.4,70.6,52.93,0.0,26.47,73.53,0.0
2022,Antonia Pantoja Preparatory Academy: A College Boa,General Academic,Common Core English,38,51.52,65.77,34.23,7.86,0.0,26.32,73.68,0.0
2023,Antonia Pantoja Preparatory Academy: A College Boa,General Academic,Common Core English,58,66.53,36.19,63.81,25.84,0.0,18.97,81.03,0.0
2022,Antonia Pantoja Preparatory Academy: A College Boa,General Academic,Living Environment,69,56.95,66.68,33.32,4.37,0.0,18.84,81.16,0.0
2022,Antonia Pantoja Preparatory Academy: A College Boa,General Academic,Common Core Algebra,107,51.97,86.95,13.05,0.0,0.0,19.63,80.37,0.0
2023,Antonia Pantoja Preparatory Academy: A College Boa,General Academic,Living Environment,115,55.01,73.94,26.06,6.08,8.7,26.09,65.22,0.0
2023,Antonia Pantoja Preparatory Academy: A College Boa,General Academic,Common Core Algebra,116,54.05,73.28,26.72,1.75,12.07,18.97,68.97,0.0
2020,"Archimedes Academy for Math, Science and Technolog",General Academic,Living Environment,10,48.4,90.0,10.0,0.0,0.0,0.0,100.0,0.0
2022,"Archimedes Academy for Math, Science and Technolog",General Academic,Common Core English,16,59.0,56.24,43.76,12.5,0.0,37.5,62.5,0.0
2020,"Archimedes Academy for Math, Science and Technolog",General Academic,Common Core Algebra,20,54.93,84.98,15.02,0.0,0.0,35.0,65.0,0.0
2020,"Archimedes Academy for Math, Science and Technolog",General Academic,Common Core English,23,72.44,21.74,78.26,34.83,30.43,0.0,69.57,0.0
2022,"Archimedes Academy for Math, Science and Technolog",General Academic,Common Core Algebra,25,60.94,55.97,44.03,8.02,0.0,32.0,68.0,0.0
2023,"Archimedes Academy for Math, Science and Technolog",General Academic,Common Core English,58,63.17,43.1,56.9,10.37,0.0,34.48,65.52,0.0
2023,"Archimedes Academy for Math, Science and Technolog",General Academic,Living Environment,74,63.07,47.32,52.68,14.85,14.86,27.03,58.11,0.0
2022,"Archimedes Academy for Math, Science and Technolog",General Academic,Living Environment,98,68.96,34.7,65.3,22.45,9.18,25.51,65.31,0.0
2023,"Archimedes Academy for Math, Science and Technolog",General Academic,Common Core Algebra,133,58.39,64.67,35.33,3.0,9.02,28.57,62.41,0.0
2021,Art and Design High School,Career Technical,Living Environment,12,76.8,0.0,100.0,41.7,0.0,0.0,100.0,0.0
2020,Art and Design High School,Career Technical,Common Core Algebra,20,53.2,80.0,20.0,0.0,0.0,0.0,100.0,0.0
2020,Art and Design High School,Career Technical,Living Environment,27,51.45,85.19,14.81,0.0,0.0,25.93,74.07,0.0
2021,Art and Design High School,Career Technical,Common Core English,37,81.59,2.72,97.28,67.54,0.0,21.62,56.76,21.62
2020,Art and Design High School,Career Technical,Common Core English,114,83.99,6.17,93.83,75.43,11.4,18.42,57.02,13.16
2022,Art and Design High School,Career Technical,Common Core Algebra,145,71.73,22.76,77.24,30.35,12.41,14.48,51.72,21.38
2022,Art and Design High School,Career Technical,Living Environment,159,76.13,16.97,83.03,40.9,11.95,13.84,49.06,25.16
2023,Art and Design High School,Career Technical,Common Core Algebra,162,75.02,17.89,82.11,43.83,11.73,15.43,45.06,27.78
2023,Art and Design High School,Career Technical,Living Environment,191,78.76,13.09,86.91,51.35,12.04,13.09,47.64,27.23
2022,Art and Design High School,Career Technical,Common Core English,425,83.36,5.18,94.82,75.76,11.29,15.29,45.18,28.24
2023,Art and Design High School,Career Technical,Common Core English,524,81.64,7.83,92.17,65.45,11.64,15.08,44.27,29.01
2022,Arturo A. Schomburg Satellite Academy Bronx,Transfer School,Common Core English,20,60.31,50.04,49.96,4.97,0.0,30.0,70.0,0.0
2020,Arturo A. Schomburg Satellite Academy Bronx,Transfer School,Common Core English,36,62.19,50.01,49.99,8.31,0.0,38.89,61.11,0.0
2023,Arturo A. Schomburg Satellite Academy Bronx,Transfer School,Common Core English,38,62.36,49.99,50.01,23.69,0.0,34.21,65.79,0.0
2023,Aspirations Diploma Plus High School,Transfer School,Living Environment,20,49.4,80.0,20.0,0.0,0.0,100.0,0.0,0.0
2022,Aspirations Diploma Plus High School,Transfer School,Common Core Algebra,22,59.4,72.7,27.3,0.0,0.0,100.0,0.0,0.0
2022,Aspirations Diploma Plus High School,Transfer School,Common Core English,40,59.3,45.0,55.0,5.0,0.0,100.0,0.0,0.0
2023,Aspirations Diploma Plus High School,Transfer School,Common Core English,46,72.6,26.1,73.9,39.1,0.0,100.0,0.0,0.0
2020,Aspirations Diploma Plus High School,Transfer School,Common Core Algebra,88,50.28,84.11,15.89,0.0,0.0,86.36,13.64,0.0
2020,Aspirations Diploma Plus High School,Transfer School,Living Environment,94,55.71,76.59,23.41,4.27,0.0,76.6,23.4,0.0
2022,Astor Collegiate Academy,General Academic,Living Environment,44,69.74,34.11,65.93,31.83,25.0,36.36,38.64,0.0
2020,Astor Collegiate Academy,General Academic,Living Environment,47,54.64,80.85,19.15,0.0,0.0,36.17,44.68,19.15
2020,Astor Collegiate Academy,General Academic,Common Core Algebra,57,56.82,68.42,31.58,0.0,0.0,40.35,47.37,12.28
