,,,,,,,,,,
DBN,School Name,Grade Level,Program Type,Department,Subject,Number of Students,Number of Classes,Average Class Size,Minimum Class Size,Maximum Class Size
02M135,THE URBAN ASSEMBLY SCHOOL FOR EMERGENCY MANAGEMENT,HS Core,Gen Ed,Math,HS Technology,78,3,26.0,22.0,28.0
02M135,THE URBAN ASSEMBLY SCHOOL FOR EMERGENCY MANAGEMENT,HS Core,Gen Ed,Science,HS Earth Science,59,3,19.7,17.0,23.0
02M135,THE URBAN ASSEMBLY SCHOOL FOR EMERGENCY MANAGEMENT,HS Core,Gen Ed,Science,HS Living Environment,30,1,30.0,30.0,30.0
02M135,THE URBAN ASSEMBLY SCHOOL FOR EMERGENCY MANAGEMENT,HS Core,Gen Ed,Science,HS Other Life Science,53,2,26.5,24.0,29.0
02M135,THE URBAN ASSEMBLY SCHOOL FOR EMERGENCY MANAGEMENT,HS Core,Gen Ed,Social Studies,HS Global History,54,2,27.0,22.0,32.0
02M135,THE URBAN ASSEMBLY SCHOOL FOR EMERGENCY MANAGEMENT,HS Core,Gen Ed,Social Studies,HS Government & Econ,30,1,30.0,30.0,30.0
02M135,THE URBAN ASSEMBLY SCHOOL FOR EMERGENCY MANAGEMENT,HS Core,Gen Ed,Social Studies,HS Social Studies Other,31,2,15.5,15.0,16.0
02M135,THE URBAN ASSEMBLY SCHOOL FOR EMERGENCY MANAGEMENT,HS Core,Gen Ed,Social Studies,HS US History,41,2,20.5,17.0,24.0
02M135,THE URBAN ASSEMBLY SCHOOL FOR EMERGENCY MANAGEMENT,HS Core,ICT,English,HS English 09,56,2,28.0,25.0,31.0
02M135,THE URBAN ASSEMBLY SCHOOL FOR EMERGENCY MANAGEMENT,HS Core,ICT,English,HS English 10,48,2,24.0,21.0,27.0
02M135,THE URBAN ASSEMBLY SCHOOL FOR EMERGENCY MANAGEMENT,HS Core,ICT,English,HS English 11,44,2,22.0,21.0,23.0
02M135,THE URBAN ASSEMBLY SCHOOL FOR EMERGENCY MANAGEMENT,HS Core,ICT,English,HS English 12,26,1,26.0,26.0,26.0
02M135,THE URBAN ASSEMBLY SCHOOL FOR EMERGENCY MANAGEMENT,HS Core,ICT,Math,HS Algebra I,61,2,30.5,29.0,32.0
02M135,THE URBAN ASSEMBLY SCHOOL FOR EMERGENCY MANAGEMENT,HS Core,ICT,Math,HS Algebra II,29,1,29.0,29.0,29.0
02M135,THE URBAN ASSEMBLY SCHOOL FOR EMERGENCY MANAGEMENT,HS Core,ICT,Math,HS Geometry,27,1,27.0,27.0,27.0
02M135,THE URBAN ASSEMBLY SCHOOL FOR EMERGENCY MANAGEMENT,HS Core,ICT,Science,HS Earth Science,53,2,26.5,25.0,28.0
02M135,THE URBAN ASSEMBLY SCHOOL FOR EMERGENCY MANAGEMENT,HS Core,ICT,Science,HS Living Environment,51,2,25.5,20.0,31.0
02M135,THE URBAN ASSEMBLY SCHOOL FOR EMERGENCY MANAGEMENT,HS Core,ICT,Science,HS Physics,29,1,29.0,29.0,29.0
02M135,THE URBAN ASSEMBLY SCHOOL FOR EMERGENCY MANAGEMENT,HS Core,ICT,Social Studies,HS Global History,96,4,24.0,15.0,29.0
02M135,THE URBAN ASSEMBLY SCHOOL FOR EMERGENCY MANAGEMENT,HS Core,ICT,Social Studies,HS Government & Econ,29,1,29.0,29.0,29.0
02M135,THE URBAN ASSEMBLY SCHOOL FOR EMERGENCY MANAGEMENT,HS Core,ICT,Social Studies,HS US History,27,1,27.0,27.0,27.0
02M139,STEPHEN T MATHER BUILDING ARTS & CRAFTSMANSHIP HIGH SCHOOL,HS Core,Gen Ed,English,HS English 09,60,2,30.0,28.0,32.0
02M139,STEPHEN T MATHER BUILDING ARTS & CRAFTSMANSHIP HIGH SCHOOL,HS Core,Gen Ed,English,HS English 10,52,2,26.0,24.0,28.0
02M139,STEPHEN T MATHER BUILDING ARTS & CRAFTSMANSHIP HIGH SCHOOL,HS Core,Gen Ed,English,HS English 11,28,1,28.0,28.0,28.0
