DBN,School Name,Regents Exam,Exam,Year,Mean Score,Total Tested,Black_Percent,Hispanic_Percent,Asian_Percent,White_Percent,Teacher_Count,School Type,CTE,Transfer,ELL_Percent,EconDisadvantaged_Pct,SpecialEd_Pct,Homeless_Pct,NeedsIndex,ATTENDANCE_RATE,ClassSize_Algebra,ClassSize_Biology,ClassSize,NYSED_School_Name,INSTITUTION_ID,latitude,longitude,ZIP Code,Neighborhood
71M135,The Urban Assembly School for Emergency Management,Living Environment,Living_Env,2022,60.33,47,42.55,57.45,0.0,0.0,25,Career Technical,1.0,0.0,8.0,77.0,22.0,11.0,1.0,79.0,15.0,29.0,29.0,URBAN ASSEMBLY-EMERGENCY MANAGEMENT,800000077806.0,40.711441,-74.000851,10038,Lower Manhattam
71M135,The Urban Assembly School for Emergency Management,Common Core Algebra,Algebra_I,2022,59.62,56,33.93,66.07,0.0,0.0,25,Career Technical,1.0,0.0,8.0,77.0,22.0,11.0,1.0,79.0,15.0,29.0,15.0,URBAN ASSEMBLY-EMERGENCY MANAGEMENT,800000077806.0,40.711441,-74.000851,10038,Lower Manhattam
71M135,The Urban Assembly School for Emergency Management,Common Core English,ELA,2022,67.14,71,32.39,59.15,8.45,0.0,25,Career Technical,1.0,0.0,8.0,77.0,22.0,11.0,1.0,79.0,15.0,29.0,22.0,URBAN ASSEMBLY-EMERGENCY MANAGEMENT,800000077806.0,40.711441,-74.000851,10038,Lower Manhattam
71M139,Stephen T. Mather Building Arts & Craftsmanship High School,Common Core English,ELA,2022,63.37,70,30.0,70.0,0.0,0.0,35,Career Technical,1.0,0.0,8.0,84.0,29.0,7.0,1.0,79.0,22.0,25.0,23.5,STEPHEN T MATHER BLDG ARTS-CRAFTSMAN,800000077807.0,40.763655,-73.990318,10019,Chelsea - Clinton
71M139,Stephen T. Mather Building Arts & Craftsmanship High School,Living Environment,Living_Env,2022,63.63,88,27.27,72.73,0.0,0.0,35,Career Technical,1.0,0.0,8.0,84.0,29.0,7.0,1.0,79.0,22.0,25.0,25.0,STEPHEN T MATHER BLDG ARTS-CRAFTSMAN,800000077807.0,40.763655,-73.990318,10019,Chelsea - Clinton
71M139,Stephen T. Mather Building Arts & Craftsmanship High School,Common Core Algebra,Algebra_I,2022,57.04,136,27.21,72.79,0.0,0.0,35,Career Technical,1.0,0.0,8.0,84.0,29.0,7.0,1.0,79.0,22.0,25.0,22.0,STEPHEN T MATHER BLDG ARTS-CRAFTSMAN,800000077807.0,40.763655,-73.990318,10019,Chelsea - Clinton
71M157,The Urban Assembly School for Global Commerce,Living Environment,Living_Env,2022,54.6,10,0.0,100.0,0.0,0.0,21,Career Technical,1.0,0.0,11.0,92.0,40.0,18.0,1.0,75.0,16.0,12.0,12.0,URBAN ASSEMBLY-GLOBAL COMMERCE,800000077810.0,40.807019,-73.938714,10035,East Harlem
71M157,The Urban Assembly School for Global Commerce,Common Core English,ELA,2022,60.71,38,60.53,39.47,0.0,0.0,21,Career Technical,1.0,0.0,11.0,92.0,40.0,18.0,1.0,75.0,16.0,12.0,14.0,URBAN ASSEMBLY-GLOBAL COMMERCE,800000077810.0,40.807019,-73.938714,10035,East Harlem
71M157,The Urban Assembly School for Global Commerce,Common Core Algebra,Algebra_I,2022,59.28,43,48.84,51.16,0.0,0.0,21,Career Technical,1.0,0.0,11.0,92.0,40.0,18.0,1.0,75.0,16.0,12.0,16.0,URBAN ASSEMBLY-GLOBAL COMMERCE,800000077810.0,40.807019,-73.938714,10035,East Harlem
71M211,Inwood Early College For Health And Information Technologies,Living Environment,Living_Env,2022,63.9,56,0.0,100.0,0.0,0.0,37,Career Technical,1.0,0.0,14.0,87.0,22.0,14.0,1.0,91.0,18.0,19.0,19.0,INWOOD EARLY COLLEGE FOR HEALTH-INFO,800000083449.0,40.865556,-73.925464,10034,Washington Heights - Inwood
71M211,Inwood Early College For Health And Information Technologies,Common Core Algebra,Algebra_I,2022,59.0,65,0.0,100.0,0.0,0.0,37,Career Technical,1.0,0.0,14.0,87.0,22.0,14.0,1.0,91.0,18.0,19.0,18.0,INWOOD EARLY COLLEGE FOR HEALTH-INFO,800000083449.0,40.865556,-73.925464,10034,Washington Heights - Inwood
71M211,Inwood Early College For Health And Information Technologies,Common Core English,ELA,2022,67.65,140,6.43,93.57,0.0,0.0,37,Career Technical,1.0,0.0,14.0,87.0,22.0,14.0,1.0,91.0,18.0,19.0,18.5,INWOOD EARLY COLLEGE FOR HEALTH-INFO,800000083449.0,40.865556,-73.925464,10034,Washington Heights - Inwood
71M280,Manhattan Early College School for Advertising,Living Environment,Living_Env,2022,77.14,53,39.62,49.06,11.32,0.0,38,Career Technical,1.0,0.0,6.0,78.0,18.0,7.0,1.0,80.0,22.0,24.0,24.0,MANHATTAN EARLY COLLEGE SCH-ADVERTIS,800000083451.0,40.711441,-74.000851,10038,Lower Manhattam
71M280,Manhattan Early College School for Advertising,Common Core Algebra,Algebra_I,2022,65.99,60,38.33,61.67,0.0,0.0,38,Career Technical,1.0,0.0,6.0,78.0,18.0,7.0,1.0,80.0,22.0,24.0,22.0,MANHATTAN EARLY COLLEGE SCH-ADVERTIS,800000083451.0,40.711441,-74.000851,10038,Lower Manhattam
71M280,Manhattan Early College School for Advertising,Common Core English,ELA,2022,75.03,90,32.22,50.0,17.78,0.0,38,Career Technical,1.0,0.0,6.0,78.0,18.0,7.0,1.0,80.0,22.0,24.0,23.0,MANHATTAN EARLY COLLEGE SCH-ADVERTIS,800000083451.0,40.711441,-74.000851,10038,Lower Manhattam
71M282,Urban Assembly Maker Academy,Common Core English,ELA,2022,73.31,53,52.83,47.17,0.0,0.0,46,Career Technical,1.0,0.0,6.0,71.0,24.0,8.0,1.0,80.0,23.0,28.0,25.5,URBAN ASSEMBLY MAKER ACADEMY,800000083463.0,40.711441,-74.000851,10038,Lower Manhattam
71M282,Urban Assembly Maker Academy,Living Environment,Living_Env,2022,64.18,63,39.68,46.03,0.0,14.29,46,Career Technical,1.0,0.0,6.0,71.0,24.0,8.0,1.0,80.0,23.0,28.0,28.0,URBAN ASSEMBLY MAKER ACADEMY,800000083463.0,40.711441,-74.000851,10038,Lower Manhattam
71M282,Urban Assembly Maker Academy,Common Core Algebra,Algebra_I,2022,59.41,108,35.19,49.07,0.0,15.74,46,Career Technical,1.0,0.0,6.0,71.0,24.0,8.0,1.0,80.0,23.0,28.0,23.0,URBAN ASSEMBLY MAKER ACADEMY,800000083463.0,40.711441,-74.000851,10038,Lower Manhattam
71M285,Harlem Renaissance High School,Common Core English,ELA,2022,59.36,17,52.94,47.06,0.0,0.0,13,Transfer School,0.0,1.0,14.0,85.0,28.0,15.0,1.0,48.0,6.0,4.0,5.0,HARLEM RENAISSANCE HIGH SCHOOL,800000058112.0,40.807692,-73.939974,10035,East Harlem
71M288,Food and Finance High School,Common Core English,ELA,2022,65.7,12,0.0,100.0,0.0,0.0,32,Career Technical,1.0,0.0,5.0,82.0,25.0,10.0,1.0,81.0,30.0,26.0,28.0,FOOD AND FINANCE HIGH SCHOOL,800000058014.0,40.765474,-73.9927,10019,Chelsea - Clinton
71M288,Food and Finance High School,Living Environment,Living_Env,2022,64.58,72,30.56,69.44,0.0,0.0,32,Career Technical,1.0,0.0,5.0,82.0,25.0,10.0,1.0,81.0,30.0,26.0,26.0,FOOD AND FINANCE HIGH SCHOOL,800000058014.0,40.765474,-73.9927,10019,Chelsea - Clinton
71M288,Food and Finance High School,Common Core Algebra,Algebra_I,2022,57.93,76,31.58,68.42,0.0,0.0,32,Career Technical,1.0,0.0,5.0,82.0,25.0,10.0,1.0,81.0,30.0,26.0,30.0,FOOD AND FINANCE HIGH SCHOOL,800000058014.0,40.765474,-73.9927,10019,Chelsea - Clinton
71M292,Orchard Collegiate Academy,Common Core English,ELA,2022,85.2,12,0.0,100.0,0.0,0.0,25,General Academic,0.0,0.0,5.0,82.0,27.0,11.0,1.0,77.0,20.0,19.0,19.5,ORCHARD COLLEGIATE ACADEMY,800000058020.0,40.713362,-73.986051,10002,Union Square - Lower East Side
71M292,Orchard Collegiate Academy,Living Environment,Living_Env,2022,74.12,30,0.0,56.67,43.33,0.0,25,General Academic,0.0,0.0,5.0,82.0,27.0,11.0,1.0,77.0,20.0,19.0,19.0,ORCHARD COLLEGIATE ACADEMY,800000058020.0,40.713362,-73.986051,10002,Union Square - Lower East Side
71M292,Orchard Collegiate Academy,Common Core Algebra,Algebra_I,2022,63.08,52,25.0,51.92,23.08,0.0,25,General Academic,0.0,0.0,5.0,82.0,27.0,11.0,1.0,77.0,20.0,19.0,20.0,ORCHARD COLLEGIATE ACADEMY,800000058020.0,40.713362,-73.986051,10002,Union Square - Lower East Side
