DBN,Location_Code,School_Name,latitude,longitude,formatted_address,ZIP Code,Neighborhood,Borough_Code_Derived,Borough_Derived,District_Derived
71M545,M545,HIGH SCHOOL FOR DUAL LANGUAGE AND ASIAN STUDIES,40.717329,-73.989329,350 GRAND STREET,10002,Union Square - Lower East Side,M,Manhattan,71
71M550,M550,LIBERTY HIGH SCHOOL ACADEMY FOR NEWCOMERS,40.74182,-74.000238,250 WEST 18 STREET,10011,Chelsea - Clinton,M,Manhattan,71
71M551,M551,URBAN ASSEMBLY NEW YORK HARBOR SCHOOL,40.689493,-74.018941,550 SHORT AVENUE,10004,Lower Manhattan,M,Manhattan,71
71M552,M552,GREGORIO LUPERON HIGH SCHOOL FOR SCIENCE AND MATHE,40.8381,-73.9383,501 WEST 165 STREET,10032,Washington Heights - Inwood,M,Manhattan,71
71M555,M555,CENTRAL PARK EAST HIGH SCHOOL,40.793649,-73.948488,1573 MADISON AVENUE,10029,East Harlem,M,Manhattan,71
71M565,M565,URBAN ACADEMY LABORATORY HIGH SCHOOL,40.765638,-73.959777,320 EAST 67 STREET,10065,Upper East Side,M,Manhattan,71
71M565,M565,URBAN ACADEMY LABORATORY HIGH SCHOOL,40.765638,-73.959777,321 EAST 67 STREET,10065,Upper East Side,M,Manhattan,71
71M565,M565,URBAN ACADEMY LABORATORY HIGH SCHOOL,40.765638,-73.959777,322 EAST 67 STREET,10065,Upper East Side,M,Manhattan,71
71M565,M565,URBAN ACADEMY LABORATORY HIGH SCHOOL,40.765638,-73.959777,323 EAST 67 STREET,10065,Upper East Side,M,Manhattan,71
71M565,M565,URBAN ACADEMY LABORATORY HIGH SCHOOL,40.765638,-73.959777,324 EAST 67 STREET,10065,Upper East Side,M,Manhattan,71
71M565,M565,URBAN ACADEMY LABORATORY HIGH SCHOOL,40.765638,-73.959777,325 EAST 67 STREET,10065,Upper East Side,M,Manhattan,71
71M570,M570,SATELLITE ACADEMY HIGH SCHOOL,40.666251,-73.923881,1150 EAST NEW YORK AVENUE,11212,Bedford Stuyvesant - Crown Heights,M,Manhattan,71
73K553,K553,BROOKLYN ACADEMY HIGH SCHOOL,40.666251,-73.923881,1150 EAST NEW YORK AVENUE,11212,Bedford Stuyvesant - Crown Heights,K,Brooklyn,73
76K568,K568,BROWNSVILLE ACADEMY HIGH SCHOOL,40.666251,-73.923881,1150 EAST NEW YORK AVENUE,11212,Bedford Stuyvesant - Crown Heights,K,Brooklyn,76
71M575,M575,MANHATTAN COMPREHENSIVE NIGHT AND DAY HIGH SCHOOL,40.732699,-73.984333,240 2 AVENUE,10003,Union Square - Lower East Side,M,Manhattan,71
71M580,M580,RICHARD R. GREEN HIGH SCHOOL OF TEACHING,40.705688,-74.013303,7 BEAVER STREET,10004,Lower Manhattan,M,Manhattan,71
71M586,M586,HARVEY MILK HIGH SCHOOL,40.729661,-73.992343,2-10 ASTOR PLACE,10003,Union Square - Lower East Side,M,Manhattan,71
71M600,M600,THE HIGH SCHOOL OF FASHION INDUSTRIES,40.745677,-73.996354,225 WEST 24 STREET,10011,Chelsea - Clinton,M,Manhattan,71
71M605,M605,HUMANITIES PREPARATORY ACADEMY,40.743407,-74.00254,351 WEST 18 STREET,10011,Chelsea - Clinton,M,Manhattan,71
71M615,M615,CHELSEA CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,40.72463,-74.005058,131 AVENUE OF THE AMERICAS,10013,Greenwich Village - SoHo,M,Manhattan,71
71M630,M630,ART AND DESIGN HIGH SCHOOL,40.759248,-73.967204,245 EAST 56 STREET,10022,Gramercy Park - Murray Hill,M,Manhattan,71
71M650,M650,CASCADES HIGH SCHOOL,40.722415,-73.990468,198 FORSYTH STREET,10002,Union Square - Lower East Side,M,Manhattan,71
71M655,M655,THE HIGH SCHOOL FOR CLIMATE JUSTICE,40.78358769,-73.9458592,320 E 96 STREET,10128,Upper East Side,M,Manhattan,71
72X213,X213,BRONX ENGINEERING AND TECHNOLOGY ACADEMY,40.877379,-73.912686,99 TERRACE VIEW AVENUE,10463,Kingsbridge - Riverdale,X,Bronx,72
72X227,X227,BRONX COLLEGIATE ACADEMY,40.839307,-73.911366,240 EAST 172 STREET,10457,Crotona - Tremont,X,Bronx,72
73K555,K555,BROOKLYN COLLEGE ACADEMY,40.839307,-73.911366,240 EAST 172 STREET,10457,Crotona - Tremont,K,Brooklyn,73
72X237,X237,THE MARIE CURIE SCHOOL FOR MEDICINE  NURSING  AND,40.875636,-73.901565,120 WEST 231 STREET,10463,Kingsbridge - Riverdale,X,Bronx,72
72X249,X249,BRONX HEALTH SCIENCES HIGH SCHOOL,40.874035,-73.831669,750 BAYCHESTER AVENUE,10475,Northeast Bronx,X,Bronx,72
72X250,X250,EXIMIUS COLLEGE PREPARATORY ACADEMY: A COLLEGE BOA,40.833884,-73.902794,1363 FULTON AVENUE,10456,High Bridge - Morrisania,X,Bronx,72
72X251,X251,EXPLORATIONS ACADEMY H.S.,40.836245,-73.890591,1619 BOSTON ROAD,10460,Crotona - Tremont,X,Bronx,72
72X252,X252,MOTT HALL BRONX HIGH SCHOOL,40.839508,-73.901774,1595 BATHGATE AVENUE,10457,Crotona - Tremont,X,Bronx,72
72X253,X253,BRONX HIGH SCHOOL FOR WRITING AND COMMUNICATION AR,40.875172,-73.861649,800 EAST GUN HILL ROAD,10467,Fordham - Bronx Park,X,Bronx,72
72X260,X260,BRONX CENTER FOR SCIENCE AND MATHEMATICS,40.833884,-73.902794,1363 FULTON AVENUE,10456,High Bridge - Morrisania,X,Bronx,72
72X263,X263,VALIDUS PREPARATORY ACADEMY,40.839508,-73.901774,1595 BATHGATE AVENUE,10457,Crotona - Tremont,X,Bronx,72
72X264,X264,BRONX ACADEMY FOR SOFTWARE ENGINEERING (BASE),40.855392,-73.882487,2474 CROTONA AVENUE,10458,Fordham - Bronx Park,X,Bronx,72
72X265,X265,BRONX LAB SCHOOL,40.693002,-73.869305,999 JAMAICA AVENUE,11208,East New York,X,Bronx,72
73K639,K639,BROOKLYN LAB SCHOOL,40.693002,-73.869305,999 JAMAICA AVENUE,11208,East New York,K,Brooklyn,73
72X268,X268,KINGSBRIDGE INTERNATIONAL HIGH SCHOOL,40.869061,-73.897066,2780 RESERVOIR AVENUE,10468,Fordham - Bronx Park,X,Bronx,72
72X270,X270,ACADEMY FOR SCHOLARSHIP AND ENTREPRENEURSHIP: A CO,40.888242,-73.852714,921 EAST 228 STREET,10466,Northeast Bronx,X,Bronx,72
72X275,X275,HIGH SCHOOL OF COMPUTERS AND TECHNOLOGY,40.875172,-73.861649,800 EAST GUN HILL ROAD,10467,Fordham - Bronx Park,X,Bronx,72
72X282,X282,WOMEN'S ACADEMY OF EXCELLENCE,40.815043,-73.85607,456 WHITE PLAINS ROAD,10473,Pelham - Throgs Neck,X,Bronx,72
72X284,X284,BRONX SCHOOL OF LAW AND FINANCE,40.877379,-73.912686,99 TERRACE VIEW AVENUE,10463,Kingsbridge - Riverdale,X,Bronx,72
72X288,X288,COLLEGIATE INSTITUTE FOR MATH AND SCIENCE,40.860443,-73.860729,925 ASTOR AVENUE,10469,Northeast Bronx,X,Bronx,72
72X290,X290,BRONX ACADEMY OF HEALTH CAREERS,40.875172,-73.861649,800 EAST GUN HILL ROAD,10467,Fordham - Bronx Park,X,Bronx,72
72X293,X293,RENAISSANCE HIGH SCHOOL FOR MUSICAL THEATER AND TH,40.839775,-73.839583,3000 EAST TREMONT AVENUE,10461,Pelham - Throgs Neck,X,Bronx,72
72X297,X297,MORRIS ACADEMY FOR COLLABORATIVE STUDIES,40.827455,-73.90392,1110 BOSTON ROAD,10456,High Bridge - Morrisania,X,Bronx,72
72X299,X299,ASTOR COLLEGIATE ACADEMY,40.860443,-73.860729,925 ASTOR AVENUE,10469,Northeast Bronx,X,Bronx,72
72X312,X312,MILLENNIUM ART ACADEMY,40.821218,-73.85593,1980 LAFAYETTE AVENUE,10473,Pelham - Throgs Neck,X,Bronx,72
72X320,X320,PELHAM LAB HIGH SCHOOL,40.839775,-73.839583,3000 EAST TREMONT AVENUE,10461,Pelham - Throgs Neck,X,Bronx,72
72X329,X329,DREAMYARD PREPARATORY SCHOOL,40.839307,-73.911366,240 EAST 172 STREET,10457,Crotona - Tremont,X,Bronx,72
72X334,X334,INTERNATIONAL COMMUNITY HIGH SCHOOL,40.810314,-73.918774,345 BROOK AVENUE,10454,Hunts Point - Mott Haven,X,Bronx,72
72X348,X348,SCHUYLERVILLE PREPARATORY HIGH SCHOOL,40.839775,-73.839583,3000 EAST TREMONT AVENUE,10461,Pelham - Throgs Neck,X,Bronx,72
72X349,X349,BRONX RIVER HIGH SCHOOL,40.839775,-73.839583,3000 EAST TREMONT AVENUE,10461,Pelham - Throgs Neck,X,Bronx,72
72X351,X351,BRONX COLLABORATIVE HIGH SCHOOL,40.879958,-73.889011,100 WEST MOSHOLU PARKWAY SOUTH,10468,Fordham - Bronx Park,X,Bronx,72
72X353,X353,WORLD VIEW HIGH SCHOOL,40.879958,-73.889011,100 WEST MOSHOLU PARKWAY SOUTH,10468,Fordham - Bronx Park,X,Bronx,72
72X365,X365,ACADEMY FOR LANGUAGE AND TECHNOLOGY,40.849416,-73.915217,1700 MACOMBS ROAD,10453,Crotona - Tremont,X,Bronx,72
72X374,X374,KNOWLEDGE AND POWER PREPARATORY ACADEMY INTERNATIO,40.859466,-73.888625,500 EAST FORDHAM ROAD,10458,Fordham - Bronx Park,X,Bronx,72
72X377,X377,BRONX COMMUNITY HIGH SCHOOL,40.677968,-74.014363,173 CONOVER STREET,11231,Downtown - Heights - Park Slope,X,Bronx,72
72X377,X377,BRONX COMMUNITY HIGH SCHOOL,40.677968,-74.014363,173 CONOVER STREET,11232,Downtown - Heights - Park Slope,X,Bronx,72
72X377,X377,BRONX COMMUNITY HIGH SCHOOL,40.677968,-74.014363,173 CONOVER STREET,11233,Downtown - Heights - Park Slope,X,Bronx,72
72X377,X377,BRONX COMMUNITY HIGH SCHOOL,40.677968,-74.014363,173 CONOVER STREET,11234,Downtown - Heights - Park Slope,X,Bronx,72
72X377,X377,BRONX COMMUNITY HIGH SCHOOL,40.677968,-74.014363,173 CONOVER STREET,11235,Downtown - Heights - Park Slope,X,Bronx,72
72X377,X377,BRONX COMMUNITY HIGH SCHOOL,40.677968,-74.014363,173 CONOVER STREET,11236,Downtown - Heights - Park Slope,X,Bronx,72
72X377,X377,BRONX COMMUNITY HIGH SCHOOL,40.677968,-74.014363,173 CONOVER STREET,11237,Downtown - Heights - Park Slope,X,Bronx,72
72X377,X377,BRONX COMMUNITY HIGH SCHOOL,40.677968,-74.014363,173 CONOVER STREET,11238,Downtown - Heights - Park Slope,X,Bronx,72
72X377,X377,BRONX COMMUNITY HIGH SCHOOL,40.677968,-74.014363,173 CONOVER STREET,11239,Downtown - Heights - Park Slope,X,Bronx,72
72X377,X377,BRONX COMMUNITY HIGH SCHOOL,40.677968,-74.014363,173 CONOVER STREET,11240,Downtown - Heights - Park Slope,X,Bronx,72
72X377,X377,BRONX COMMUNITY HIGH SCHOOL,40.677968,-74.014363,173 CONOVER STREET,11241,Downtown - Heights - Park Slope,X,Bronx,72
72X377,X377,BRONX COMMUNITY HIGH SCHOOL,40.677968,-74.014363,173 CONOVER STREET,11242,Downtown - Heights - Park Slope,X,Bronx,72
