Year,DBN,Teachers,American Indian/Alaskan Native (AI/AN) Count,AI/AN Average Years in Title,AI/AN Average Years at School,Asian Count,Asian Average Years in Title,Asian Average Years at School,Black/African American (B/AA) Count,B/AA Years in Title,B/AA Years at School,Hawaiian/Pacific Islander (H/PI) Count,H/PI Average Years in Title,H/PI Average Years at School,Hispanic Count,Hispanic Average Years in Title,Hispanic Average Years at School,White Count,White Average Years in Title,White Average Years at School,Multiple Count,Multiple Average Years in Title,Multiple Average Years at School,Unknown/Other Count,Unknown/Other Average Years in Title,Unknown/Other Average Years at School
2020,06M048,44,*,*,*,*,,,7,16.9,11.5,*,*,*,16,13,10.4,16,5.9,5.1,*,*,*,*,,
2020,06M052,27,*,*,*,*,,,*,,,*,*,*,13,16.7,14.4,10,15.9,12.9,*,*,*,*,,
2020,06M098,37,*,*,*,*,,,*,,,*,*,*,24,16.8,14.7,8,13.7,9.8,*,*,*,*,,
2020,06M103,34,*,*,*,*,,,*,,,*,*,*,24,9.5,3.3,9,2.8,2.3,*,*,*,*,,
2020,06M115,35,*,*,*,*,,,*,,,*,*,*,23,16.2,13.2,6,13.2,2.7,*,*,*,*,,
2020,06M128,53,*,*,*,6,9.9,9.9,*,,,*,*,*,26,14.5,13.5,18,8.1,7.5,*,*,*,*,,
2020,06M132,23,*,*,*,*,,,*,,,*,*,*,13,17.6,14.9,7,11.6,11.4,*,*,*,*,,
2020,06M143,22,*,*,*,*,,,*,,,*,*,*,12,15.7,14.7,6,16.4,16.3,*,*,*,*,,
2020,06M152,46,*,*,*,*,,,*,,,*,*,*,22,17,12.5,16,14.2,9,*,*,*,*,,
2020,06M153,37,*,*,*,*,,,9,16.1,10.7,*,*,*,14,5.8,5.6,11,3.8,3.6,*,*,*,*,,
2020,06M173,41,*,*,*,*,,,*,,,*,*,*,15,12.7,9,18,11,9.5,*,*,*,*,,
2020,06M178,33,*,*,*,*,,,*,,,*,*,*,17,13.1,10.8,13,11.8,8.2,*,*,*,*,,
2020,06M187,52,*,*,*,*,,,*,,,*,*,*,15,11.1,9.5,34,10,9.1,*,*,*,*,,
2020,06M189,57,*,*,*,*,,,*,,,*,*,*,33,15.5,12.4,21,10.3,9.5,*,*,*,*,,
2020,06M192,32,*,*,*,*,,,*,,,*,*,*,18,13.9,7.6,9,12.9,4.1,*,*,*,*,,
2020,06M209,31,*,*,*,*,,,6,1.9,0.3,*,*,*,9,5.2,2,12,7.4,2.6,*,*,*,*,,
2020,06M210,38,*,*,*,*,,,*,,,*,*,*,32,13,9.4,*,,,*,*,*,*,,
2020,06M223,21,*,*,*,*,,,*,,,*,*,*,5,15.1,11.6,10,9.3,6.3,*,*,*,*,,
2020,06M278,39,*,*,*,*,,,*,,,*,*,*,8,7.8,5.5,23,12.4,7.7,*,*,*,*,,
2020,06M293,39,*,*,*,*,,,5,14.6,6.1,*,*,*,11,11.6,6.9,21,10.2,7.3,*,*,*,*,,
2020,06M311,38,*,*,*,*,,,*,,,*,*,*,30,4.7,3.5,6,4.9,3.6,*,*,*,*,,
2020,06M314,19,*,*,*,*,,,*,,,*,*,*,5,11.3,5,13,12.6,7.6,*,*,*,*,,
2020,06M319,32,*,*,*,*,,,*,,,*,*,*,20,15.4,8.1,7,8.6,5,*,*,*,*,,
2020,06M322,36,*,*,*,*,,,*,,,*,*,*,12,10.6,2.5,19,9.3,5,*,*,*,*,,
2020,06M324,33,*,*,*,*,,,*,,,*,*,*,12,10.4,7.8,17,10.6,6.8,*,*,*,*,,
2020,06M328,20,*,*,*,*,,,*,,,*,*,*,13,8,3.4,5,8.6,3.2,*,*,*,*,,
2020,06M346,52,*,*,*,*,,,7,9.4,7.2,*,*,*,15,8,6,25,8.5,6.4,*,*,*,*,,
2020,06M348,71,*,*,*,*,,,*,,,*,*,*,22,5.2,2.4,41,9.7,5.6,*,*,*,*,,
2020,06M349,10,*,*,*,*,,,*,,,*,*,*,7,9.2,6.9,*,,,*,*,*,*,,
2020,06M366,33,*,*,*,*,,,*,,,*,*,*,22,14.1,5.2,8,9.6,4.6,*,*,*,*,,
2020,06M368,17,*,*,*,*,,,5,9.1,5.1,*,*,*,*,,,8,9.5,5.8,*,*,*,*,,
2020,06M513,23,*,*,*,*,,,*,,,*,*,*,16,6.2,3.9,7,11.6,4.3,*,*,*,*,,
2020,06M528,18,*,*,*,*,,,*,,,*,*,*,9,5.7,3,7,7.5,4.2,*,*,*,*,,
2020,07X001,52,*,*,*,*,,,11,10.6,5.8,*,*,*,28,8.2,5.5,9,5,5,*,*,*,*,,
2020,07X005,62,*,*,*,*,,,7,17.9,10.1,*,*,*,27,11.5,6.3,23,9.4,4.5,*,*,*,*,,
2020,07X018,50,*,*,*,5,4.8,4.1,10,10.7,7.7,*,*,*,24,12.3,9.9,8,6.8,6.4,*,*,*,*,,
2020,07X025,56,*,*,*,*,,,6,10.6,3.4,*,*,*,32,13.3,7.6,14,6,5.4,*,*,*,*,,
2020,07X029,67,*,*,*,*,,,19,5.6,3.7,*,*,*,20,8.4,4.5,24,6.3,5.2,*,*,*,*,,
2020,07X030,45,*,*,*,*,,,13,11.7,10,*,*,*,23,12.2,10.6,6,7.2,6.8,*,*,*,*,,
2020,07X031,59,*,*,*,*,,,16,13.6,6.4,*,*,*,18,13.8,10,21,13.2,11.4,*,*,*,*,,
2020,07X043,40,*,*,*,*,,,9,15.8,10.7,*,*,*,14,12.8,11.9,15,9.5,8.7,*,*,*,*,,
2020,07X049,67,*,*,*,*,,,17,7.1,4.5,*,*,*,22,4.1,3.5,19,7.4,6.9,*,*,*,*,,
2020,07X065,33,*,*,*,*,,,9,7.5,4.2,*,*,*,10,11.6,5.4,14,7.1,2.5,*,*,*,*,,
2020,07X151,21,*,*,*,*,,,5,12.5,9.4,*,*,*,9,11.5,8.9,5,3.7,3.4,*,*,*,*,,
2020,07X154,33,*,*,*,*,,,7,10.2,10,*,*,*,8,12,8.4,15,8.9,8.9,*,*,*,*,,
2020,07X157,51,*,*,*,*,,,6,13.1,10.7,*,*,*,16,11.2,8.8,27,9.8,7.4,*,*,*,*,,
2020,07X161,41,*,*,*,*,,,7,10.4,7.6,*,*,*,23,13.9,10.5,10,9.4,9.4,*,*,*,*,,
2020,07X179,31,*,*,*,*,,,14,15.4,10,*,*,*,11,12.6,9.1,*,,,*,*,*,*,,
2020,07X223,51,*,*,*,*,,,11,4,3.3,*,*,*,18,4.7,3.1,16,5.9,4.5,*,*,*,*,,
2020,07X224,27,*,*,*,*,,,9,11.1,3.4,*,*,*,8,11.2,2.7,7,5.9,2.2,*,*,*,*,,
2020,07X277,42,*,*,*,*,,,9,4.1,2.3,*,*,*,18,8.7,7.7,11,6.5,3.6,*,*,*,*,,
2020,07X296,23,*,*,*,*,,,10,5.3,4.2,*,*,*,*,,,7,8.6,5.6,*,*,*,*,,
2020,07X298,31,*,*,*,*,,,6,8.6,3.3,*,*,*,17,5.1,3.1,6,5.4,3.3,*,*,*,*,,
2020,07X343,24,*,*,*,*,,,10,13.2,8.2,*,*,*,7,9.9,5.6,7,9.3,7.8,*,*,*,*,,
2020,07X359,26,*,*,*,*,,,*,,,*,*,*,21,6.5,3.9,*,,,*,*,*,*,,
2020,07X369,30,*,*,*,*,,,7,5.5,4.2,*,*,*,8,3.7,3,12,6.1,4.3,*,*,*,*,,
2020,07X584,24,*,*,*,*,,,8,12.8,2,*,*,*,7,6.7,1.6,5,2.1,1.3,*,*,*,*,,
2020,08X014,36,*,*,*,*,,,*,,,*,*,*,9,15.3,13.4,23,15.7,13,*,*,*,*,,
2020,08X036,56,*,*,*,*,,,*,,,*,*,*,25,13.4,12.6,29,13,10.8,*,*,*,*,,
2020,08X048,63,*,*,*,*,,,12,14.4,8.8,*,*,*,23,12.6,10.7,24,11.1,9.8,*,*,*,*,,
2020,08X062,52,*,*,*,*,,,5,14.8,12.8,*,*,*,19,13.9,13.4,25,10.8,10.1,*,*,*,*,,
2020,08X069,44,*,*,*,*,,,9,14.4,10.7,*,*,*,11,15.1,13.4,20,9.3,8.2,*,*,*,*,,
2020,08X071,111,*,*,*,*,,,*,,,*,*,*,27,11.2,8,74,11.6,10,*,*,*,*,,
2020,08X072,56,*,*,*,*,,,5,15.8,14.5,*,*,*,13,14.6,11.3,36,13.7,11.5,*,*,*,*,,
