Year,School Name,DBN,School Code,School Level,Leadership,Teachers,Other Staff,Male Count,Male Average Years in Title,Male Average Years at School,Female Count,Female Average Years in Title,Female Average Years at School
2023,THE BROOKLYN ACADEMY OF GLOBAL FINANCE,76K688,K688,HIGH SCHOOL,2,17,4,6,6.4,2.1,11,10.2,4
2023,SOUTH BROOKLYN COMMUNITY HIGH SCHOOL,76K698,K698,HIGH SCHOOL,3,12,7,*,,,*,,
2023,LIBERATION DIPLOMA PLUS,76K728,K728,HIGH SCHOOL,2,14,6,7,12,5.4,7,15.2,8.4
2023,CSI HIGH SCHOOL FOR INTERNATIONAL STUDIES,76R047,R047,HIGH SCHOOL,3,26,14,8,13.6,10.5,18,15.6,11.7
2023,GAYNOR MCCOWN EXPEDITIONARY LEARNING SCHOOL,76R064,R064,HIGH SCHOOL,3,32,11,13,11.2,8.4,19,12.3,9.5
2023,NEW DORP HIGH SCHOOL,76R440,R440,HIGH SCHOOL,13,209,101,89,11.2,9.4,120,9.4,8.2
2023,PORT RICHMOND HIGH SCHOOL,76R445,R445,HIGH SCHOOL,10,128,47,47,13,9.4,81,9.6,7.2
2023,CURTIS HIGH SCHOOL,76R450,R450,HIGH SCHOOL,13,141,33,46,16.2,13.7,95,12.6,10.8
2023,TOTTENVILLE HIGH SCHOOL,76R455,R455,HIGH SCHOOL,13,230,130,81,13.6,10.9,149,11.9,9.2
2023,SUSAN E. WAGNER HIGH SCHOOL,76R460,R460,HIGH SCHOOL,14,184,129,74,13.8,11.3,110,11.4,9.4
2023,CONCORD HIGH SCHOOL,76R470,R470,HIGH SCHOOL,2,17,6,6,21.8,8.3,11,18.2,7.2
2023,RALPH R. MCKEE CAREER AND TECHNICAL EDUCATION HIGH,76R600,R600,HIGH SCHOOL,7,69,31,30,10.7,8.3,39,7.6,4.8
2023,STATEN ISLAND TECHNICAL HIGH SCHOOL,76R605,R605,HIGH SCHOOL,7,64,17,27,12.7,9.6,37,13.2,9.8
2023,INTERNATIONAL HIGH SCHOOL FOR HEALTH SCIENCES,77Q236,Q236,HIGH SCHOOL,2,22,6,8,10.3,6.5,14,10.6,4.9
2023,VERITAS ACADEMY,77Q240,Q240,HIGH SCHOOL,4,45,11,18,10.5,5.1,27,11.2,5.2
2023,QUEENS HIGH SCHOOL FOR LANGUAGE STUDIES,77Q241,Q241,HIGH SCHOOL,3,28,5,7,6.2,4.4,21,9.6,5.4
2023,INSTITUTE FOR HEALTH PROFESSIONS AT CAMBRIA HEIGHT,77Q243,Q243,HIGH SCHOOL,3,38,5,11,7.6,4.9,27,9.9,5.8
2023,QUEENS PREPARATORY ACADEMY,77Q248,Q248,HIGH SCHOOL,2,19,4,7,11.3,4.2,12,7.2,4.8
2023,ENERGY TECH HIGH SCHOOL,77Q258,Q258,HIGH SCHOOL,3,39,10,13,5.7,3.8,26,6.8,3.5
2023,FREDERICK DOUGLASS ACADEMY VI HIGH SCHOOL,77Q260,Q260,HIGH SCHOOL,3,25,6,10,16,8.8,15,11.5,5.1
2023,VOYAGES PREP - SOUTH QUEENS,77Q261,Q261,HIGH SCHOOL,3,19,5,9,17.1,5.9,10,14,6.9
2023,FLUSHING INTERNATIONAL HIGH SCHOOL,77Q263,Q263,HIGH SCHOOL,3,31,5,11,11.7,7.9,20,11.7,9.4
2023,ACADEMY OF FINANCE AND ENTERPRISE,77Q264,Q264,HIGH SCHOOL,4,50,10,19,11.2,7.3,31,10,5.4
2023,EXCELSIOR PREPARATORY HIGH SCHOOL,77Q265,Q265,HIGH SCHOOL,2,25,4,8,9.4,8.4,17,14.1,10.7
2023,HIGH SCHOOL OF APPLIED COMMUNICATION,77Q267,Q267,HIGH SCHOOL,3,28,6,14,8.2,4.8,14,8.7,5.8
2023,GEORGE WASHINGTON CARVER HIGH SCHOOL FOR THE SCIEN,77Q272,Q272,HIGH SCHOOL,3,26,8,9,18.6,9.7,17,17.2,6.5
2023,CIVIC LEADERSHIP ACADEMY,77Q293,Q293,HIGH SCHOOL,3,39,13,15,7.7,6.1,24,10.8,6.8
2023,PAN AMERICAN INTERNATIONAL HIGH SCHOOL,77Q296,Q296,HIGH SCHOOL,3,31,7,14,10.1,6,17,7.5,4
2023,BARD HIGH SCHOOL EARLY COLLEGE QUEENS,77Q299,Q299,HIGH SCHOOL,2,48,7,21,9.7,7.8,27,8.1,5.8
2023,ACADEMY FOR CAREERS IN TELEVISION AND FILM,77Q301,Q301,HIGH SCHOOL,3,47,10,21,9,6.9,26,6.4,5.1
2023,QUEENS HIGH SCHOOL FOR INFORMATION  RESEARCH  AND,77Q302,Q302,HIGH SCHOOL,4,34,7,18,10.9,5.5,16,14.4,5.2
